"trial_type","trial_index","time_elapsed","internal_node_id","task_version","view_history","rt","rune","rune_set","hex","correct","choice","accuracy","outcome","keys","total_keys","block","practice","age","subject","participantId","value","responses","num_errors"
"pavlovia","0","8","0.0-0.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","1","5084","0.0-1.0-0.0","battery-v0.2","[{""page_index"":0,""viewing_time"":3290.5},{""page_index"":1,""viewing_time"":166.5},{""page_index"":2,""viewing_time"":166.5999999642372},{""page_index"":3,""viewing_time"":166.70000004768372},{""page_index"":4,""viewing_time"":150.0999999642372},{""page_index"":5,""viewing_time"":150},{""page_index"":6,""viewing_time"":166.60000002384186},{""page_index"":7,""viewing_time"":150.0999999642372},{""page_index"":8,""viewing_time"":166.60000002384186},{""page_index"":9,""viewing_time"":183.30000001192093},{""page_index"":10,""viewing_time"":149.89999997615814},{""page_index"":11,""viewing_time"":166.69999998807907}]","5074.399999976158","","","","","","","","","","","","","","","","",""
"pit-trial","2","9335","0.0-1.0-1.0-0.0","battery-v0.2","","746.6000000238419","&#9776;","elianto","#3366ff99","32","32","1","+10","2246.600000023842","1","0","1","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","3","13777","0.0-1.0-1.0-1.0","battery-v0.2","","939.3000000119209","&#9776;","elianto","#3366ff99","32","32","1","+10","2439.399999976158,3395.599999964237","2","0","1","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","4","18401","0.0-1.0-1.0-2.0","battery-v0.2","","1118","&#9776;","elianto","#3366ff99","32","32","1","+10","2620","1","0","1","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","5","22224","0.0-1.0-1.0-3.0","battery-v0.2","","320.5","&#9776;","elianto","#3366ff99","32","32","1","0","1820.6000000238419","1","0","1","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","6","26005","0.0-1.0-1.0-4.0","battery-v0.2","","277.5","&#9776;","elianto","#3366ff99","32","32","1","+10","1777.800000011921","1","0","1","14","3&age=14&participant_ID=5&order=1","5","","",""
"call-function","7","26006","0.0-1.0-2.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
"pit-instructions","8","37615","0.0-1.0-3.0","battery-v0.2","[{""page_index"":0,""viewing_time"":10832.400000035763},{""page_index"":1,""viewing_time"":179.5},{""page_index"":2,""viewing_time"":157.5999999642372},{""page_index"":3,""viewing_time"":224.10000002384186},{""page_index"":4,""viewing_time"":90.69999998807907},{""page_index"":5,""viewing_time"":124.30000001192093}]","11608.800000011921","","","","","","","","","","","","","","","","",""
"pit-trial","9","43124","0.0-1.0-4.0-0.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","10","48635","0.0-1.0-4.0-1.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","11","54139","0.0-1.0-4.0-2.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","12","59645","0.0-1.0-4.0-3.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","+10","","0","0","2","14","3&age=14&participant_ID=5&order=1","5","","",""
"pit-trial","13","65150","0.0-1.0-4.0-4.0","battery-v0.2","","-1","&#9761;","elianto","#3366ff99","-1","-1","1","0","","0","0","2","14","3&age=14&participant_ID=5&order=1","5","","",""
"call-function","14","65151","0.0-1.0-5.0","battery-v0.2","","","","","","","","","","","","","","","","","","",""
